id,name,latitude,longitude
130,Damen Ave & Division St,41.903266,-87.678435
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385
132,Wentworth Ave & 24th St,41.849237,-87.631715
133,Kingsbury St & Kinzie St,41.88917683258,-87.6385057718
134,Peoria St & Jackson Blvd,41.877749,-87.649633
135,Halsted St & 21st St,41.85378,-87.64665
136,Racine Ave & 13th St,41.865054,-87.656959
137,Morgan Ave & 14th Pl,41.862378,-87.651062
138,Clybourn Ave & Division St,41.904613,-87.640552
140,Dearborn Pkwy & Delaware Pl,41.898969,-87.629912
141,Clark St & Lincoln Ave,41.915689,-87.6346
142,McClurg Ct & Erie St,41.894503,-87.617854
143,Sedgwick St & Webster Ave,41.922167,-87.638888
144,Larrabee St & Webster Ave,41.921822,-87.64414
145,Mies van der Rohe Way & Chestnut St,41.8985866514,-87.6219152258
146,Loomis St & Jackson Blvd,41.877945,-87.662007
147,Indiana Ave & 26th St,41.845687,-87.622481
148,State St & 33rd St,41.834734,-87.625813
149,Calumet Ave & 33rd St,41.8349,-87.61793
150,Fort Dearborn Dr & 31st St,41.838556,-87.608218
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617
153,Southport Ave & Wellington Ave,41.935733,-87.663576
154,Southport Ave & Belmont Ave,41.93949,-87.66378
156,Clark St & Wellington Ave,41.9364968219,-87.6475386582
157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391
159,Claremont Ave & Hirsch St,41.907781,-87.685854
160,Campbell Ave & North Ave,41.910535,-87.689556
161,Rush St & Superior St,41.89576474564,-87.6259080327
162,Damen Ave & Wellington Ave,41.93588,-87.67842
163,Damen Ave & Clybourn Ave,41.931931,-87.677856
164,Franklin St & Lake St,41.885837,-87.6355
165,Clark St & Grace St,41.95078,-87.659172
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507
167,Damen Ave & Coulter St,41.8492,-87.67564
168,Michigan Ave & 14th St,41.864059,-87.623727
169,Canal St & Harrison St,41.874255,-87.639573
170,Clinton St & 18th St,41.85795,-87.640826
171,May St & Cullerton St,41.855136,-87.654127
172,Rush St & Cedar St,41.90230870122,-87.627690528
173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743
174,Canal St & Madison St,41.882091,-87.639833
175,Wells St & Polk St,41.872596,-87.633501999999993
176,Clark St & Elm St,41.902973,-87.63128
177,Theater on the Lake,41.926277,-87.630834
178,State St & 19th St,41.856594,-87.627542
179,MLK Jr Dr & Pershing Rd,41.8246,-87.61678
180,Ritchie Ct & Banks St,41.906866,-87.626217
181,LaSalle St & Illinois St,41.890762,-87.631697
182,Wells St & Elm St,41.903222,-87.634324
183,Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409
184,State St & 35th St,41.83104,-87.62688
185,Stave St & Armitage Ave,41.917741,-87.691392
186,Ogden Ave & Race Ave,41.891795,-87.658751
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658
190,Southport Ave & Wrightwood Ave,41.928773,-87.663913
191,Canal St & Monroe St (*),41.880381,-87.639507
192,Canal St & Adams St,41.879255,-87.639904
193,State St & 29th St,41.841707,-87.626938
194,Wabash Ave & Wacker Pl,41.886875,-87.62603
195,Columbus Dr & Randolph St,41.884728,-87.619521
196,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072
197,Michigan Ave & Madison St,41.882134,-87.625125
198,Green St & Madison St,41.881892,-87.648789
199,Wabash Ave & Grand Ave,41.891466,-87.626761
200,MLK Jr Dr & 47th St,41.809851,-87.616279
201,Indiana Ave & 40th St,41.82168,-87.6216
202,Halsted St & 18th St,41.857499,-87.646277
203,Western Ave & 21st St,41.854109,-87.685838
204,Prairie Ave & Garfield Blvd,41.794354,-87.619304
205,Paulina St & 18th St,41.857901,-87.668745
206,Halsted St & Archer Ave,41.847203,-87.646795
207,Emerald Ave & 28th St,41.84358,-87.645368
208,Ashland Ave & 21st St,41.85381,-87.665897
209,Normal Ave & Archer Ave,41.849527,-87.640591
210,Ashland Ave & Division St,41.90345,-87.667747
211,St. Clair St & Erie St,41.894448,-87.622663
212,Wells St & Hubbard St,41.889906,-87.634266
213,Leavitt St & North Ave,41.910153,-87.68229
214,Damen Ave & Grand Ave,41.89122,-87.67686
215,Damen Ave & Madison St,41.88137,-87.67493
216,California Ave & Division St,41.903029,-87.697474
217,Racine Ave (May St) & Fulton St,41.886926,-87.656919
218,Wells St & 19th St,41.856802,-87.633879
219,Damen Ave & Cortland St,41.915972,-87.677652
220,Clark St & Drummond Pl,41.931248,-87.644336
222,Milwaukee Ave & Rockwell St,41.920195,-87.693033
223,Clifton Ave & Armitage Ave,41.918216,-87.656936
224,Halsted St & Willow St,41.913865,-87.648755
225,Halsted St & Dickens Ave,41.919936,-87.64883
226,Racine Ave & Belmont Ave,41.939743,-87.658865
227,Southport Ave & Waveland Ave,41.94815,-87.66394
228,Damen Ave & Melrose Ave,41.9406,-87.6785
229,Southport Ave & Roscoe St,41.943739,-87.66402
