"","Gene ID","Gene Name","A2058","A375","C32","Malme3M","SKMEL28","SKMEL5","WM2664"
"93","ENSG00000005379","TSPOAP1",0,0,0,0.2,0,0,0.5
"94","ENSG00000005381","MPO",0,0,0,0,0,0,0.1
"95","ENSG00000005421","PON1",0.3,0.1,0.2,0.2,0.1,0,0.1
"96","ENSG00000005436","GCFC2",20,35,14,18,34,21,25
"97","ENSG00000005448","WDR54",22,54,19,9,28,7,35
"98","ENSG00000005469","CROT",10,12,59,43,19,14,26
"99","ENSG00000005471","ABCB4",0.2,6,3,2,0,9,25
"100","ENSG00000005483","KMT2E",49,33,66,102,31,41,73
"101","ENSG00000005486","RHBDD2",41,59,60,170,26,121,85
"102","ENSG00000005513","SOX8",11,5,62,35,0.7,19,16
"103","ENSG00000005700","IBTK",68,75,53,48,62,50,59
"104","ENSG00000005801","ZNF195",13,14,17,6,15,14,15
"105","ENSG00000005810","MYCBP2",38,27,26,17,18,46,28
"106","ENSG00000005812","FBXL3",45,38,27,22,21,22,41
"107","ENSG00000005844","ITGAL",0.1,0,0,0,0.1,0.1,0
"108","ENSG00000005882","PDK2",8,12,6,21,9,4,12
"109","ENSG00000005884","ITGA3",132,198,137,210,23,14,84
"110","ENSG00000005889","ZFX",19,25,15,19,22,15,21
"111","ENSG00000005893","LAMP2",308,160,339,324,642,384,305
"112","ENSG00000005961","ITGA2B",0.4,0.1,0.4,0.7,0.2,0.1,0.7
"113","ENSG00000005981","ASB4",5,0.4,0.1,2,0.3,277,0.3
"114","ENSG00000006007","GDE1",66,92,69,102,106,55,86
"115","ENSG00000006015","REX1BD",20,27,5,20,23,14,29
"116","ENSG00000006016","CRLF1",5,22,0.7,3,5,1,1
"117","ENSG00000006025","OSBPL7",11,8,9,5,0.9,1,7
"118","ENSG00000006042","TMEM98",24,34,21,107,87,56,59
"119","ENSG00000006047","YBX2",1,0.2,0.2,1,2,1,0.2
"120","ENSG00000006059","KRT33A",0,0,0.2,0,0,0,0
"121","ENSG00000006062","MAP3K14",8,8,5,4,3,4,3
"122","ENSG00000006071","ABCC8",0,0.1,0,0,0,0,0
"123","ENSG00000006116","CACNG3",0,0.1,0.1,0.1,0.1,0,0
"124","ENSG00000006118","TMEM132A",33,19,5,16,3,20,17
"125","ENSG00000006125","AP2B1",113,191,134,138,119,144,183
"126","ENSG00000006128","TAC1",0,61,0.2,0,0,0.3,0.7
"127","ENSG00000006194","ZNF263",16,23,21,38,21,19,14
"128","ENSG00000006210","CX3CL1",10,2,6,41,7,6,12
"129","ENSG00000006282","SPATA20",27,35,41,44,37,51,33
"130","ENSG00000006283","CACNA1G",0.3,0.1,0.1,0,0.2,0.2,0.3
"131","ENSG00000006327","TNFRSF12A",106,174,186,294,159,9,61
"132","ENSG00000006377","DLX6",9,2,4,0.4,2,4,0.5
"133","ENSG00000006432","MAP3K9",0.6,9,3,11,13,8,9
"134","ENSG00000006451","RALA",79,85,51,50,52,85,110
"135","ENSG00000006453","BAIAP2L1",36,46,152,89,100,24,21
