"","Gene ID","Gene Name","A2058","A375","C32","Malme3M","SKMEL28","SKMEL5","WM2664"
"10239","ENSG00000161970","RPL26",310,618,131,253,321,462,382
"10240","ENSG00000161973","CCDC42",0,0.2,0.1,0.2,0.6,0,0.5
"10241","ENSG00000161980","POLR3K",92,84,54,31,74,24,49
"10242","ENSG00000161981","SNRNP25",67,34,22,23,77,15,39
"10243","ENSG00000161992","PRR35",0.1,0,0,0,0,0,0
"10244","ENSG00000161996","WDR90",15,9,10,4,8,4,5
"10245","ENSG00000161999","JMJD8",40,51,26,18,44,22,46
"10246","ENSG00000162004","CCDC78",8,5,7,3,4,15,6
"10247","ENSG00000162009","SSTR5",0,0,0,0,0.1,0,2
"10248","ENSG00000162032","SPSB3",1,0.8,1,2,0.7,0.5,1
"10249","ENSG00000162039","MEIOB",0,0,0,0,0.1,0,0
"10250","ENSG00000162040","HS3ST6",0,0.1,0,0,0,0,0
"10251","ENSG00000162062","TEDC2",31,13,8,28,19,5,17
"10252","ENSG00000162063","CCNF",46,31,26,28,41,7,27
"10253","ENSG00000162065","TBC1D24",8,9,8,31,8,4,7
"10254","ENSG00000162066","AMDHD2",18,8,5,48,32,30,13
"10255","ENSG00000162068","NTN3",0.3,0.4,0.6,0.7,0.1,0.2,1
"10256","ENSG00000162069","BICDL2",0.2,0.1,0.3,0.1,0.1,0.2,0.2
"10257","ENSG00000162073","PAQR4",61,37,25,111,49,16,39
"10258","ENSG00000162076","FLYWCH2",41,35,12,108,35,25,25
"10259","ENSG00000162078","ZG16B",0.1,0,0,1,0,0.1,8
"10260","ENSG00000162086","ZNF75A",8,5,4,4,4,5,2
"10261","ENSG00000162104","ADCY9",14,12,17,37,14,10,25
"10262","ENSG00000162105","SHANK2",0,0.1,0.1,0.1,0,0.3,0
"10263","ENSG00000162129","CLPB",33,44,33,13,22,31,31
"10264","ENSG00000162139","NEU3",18,18,13,15,12,51,20
"10265","ENSG00000162144","CYB561A3",18,17,12,20,28,9,16
"10266","ENSG00000162148","PPP1R32",0.3,0,0.5,0.5,0.3,0.1,0.1
"10267","ENSG00000162174","ASRGL1",11,5,4,15,41,3,9
"10268","ENSG00000162188","GNG3",1,0.2,2,0.8,0,0.4,1
"10269","ENSG00000162191","UBXN1",105,159,46,36,37,75,113
"10270","ENSG00000162194","LBHD1",11,13,3,3,4,5,7
"10271","ENSG00000162222","TTC9C",29,29,26,13,14,17,19
"10272","ENSG00000162227","TAF6L",17,16,17,9,8,11,18
"10273","ENSG00000162231","NXF1",49,51,47,31,26,21,41
"10274","ENSG00000162236","STX5",51,72,30,38,41,32,60
"10275","ENSG00000162241","SLC25A45",4,12,2,3,1,3,5
"10276","ENSG00000162244","RPL29",637,1238,292,536,513,854,640
"10277","ENSG00000162267","ITIH3",0,0.1,0.1,0.4,0,0,0.1
"10278","ENSG00000162298","SYVN1",42,56,31,23,25,26,40
"10279","ENSG00000162300","ZFPL1",8,9,6,6,6,7,10
"10280","ENSG00000162302","RPS6KA4",47,36,58,27,27,44,60
"10281","ENSG00000162337","LRP5",54,36,11,31,33,21,17
"10282","ENSG00000162341","TPCN2",19,11,14,13,8,42,25
"10283","ENSG00000162344","FGF19",0,0,0,0,0,0.2,0
"10284","ENSG00000162366","PDZK1IP1",0,0,0,0.1,0,0,0.8
"10285","ENSG00000162367","TAL1",0.1,0.1,0,0.1,0,0.3,0
"10286","ENSG00000162368","CMPK1",155,252,209,77,205,103,170
"10287","ENSG00000162373","BEND5",0.1,1,1,0,1,0.1,0.3
"10288","ENSG00000162374","ELAVL4",0,0.1,0,0,0,0.1,0
"10289","ENSG00000162377","COA7",53,79,37,28,53,46,52
"10290","ENSG00000162378","ZYG11B",25,35,33,25,31,30,30
"10291","ENSG00000162384","C1orf123",20,25,10,16,22,14,26
"10292","ENSG00000162385","MAGOH",82,128,59,35,85,41,63
"10293","ENSG00000162390","ACOT11",2,1,1,5,2,1,1
"10294","ENSG00000162391","FAM151A",0.5,0.1,0,0.6,0.2,0.1,0
"10295","ENSG00000162396","PARS2",11,18,6,13,14,11,9
"10296","ENSG00000162398","LEXM",0,0.1,0,0.2,0,0,0
"10297","ENSG00000162399","BSND",0.1,0.1,0.1,0.1,0.1,0.2,0.2
"10298","ENSG00000162402","USP24",39,55,34,20,49,23,36
"10299","ENSG00000162407","PLPP3",28,26,28,24,59,16,57
"10300","ENSG00000162408","NOL9",13,18,18,9,28,14,11
"10301","ENSG00000162409","PRKAA2",4,7,0.2,0.1,5,3,0.1
"10302","ENSG00000162413","KLHL21",49,96,62,33,167,41,41
"10303","ENSG00000162415","ZSWIM5",5,3,8,0.8,1,5,2
"10304","ENSG00000162419","GMEB1",11,13,8,6,13,7,14
"10305","ENSG00000162426","SLC45A1",0.3,3,0.1,2,0,0,1
"10306","ENSG00000162430","SELENON",170,224,122,477,221,151,419
"10307","ENSG00000162433","AK4",19,45,100,12,63,14,47
"10308","ENSG00000162434","JAK1",58,88,83,76,126,57,111
"10309","ENSG00000162437","RAVER2",27,21,29,23,27,16,25
"10310","ENSG00000162438","CTRC",0.6,0.3,0.3,0.3,0.2,0.4,0.2
"10311","ENSG00000162441","LZIC",51,62,47,30,108,40,94
"10312","ENSG00000162444","RBP7",0.7,0.5,0.3,1,0.3,0.6,51
"10313","ENSG00000162458","FBLIM1",42,1,0.4,16,0.5,0.9,27
"10314","ENSG00000162460","TMEM82",0,0,0,0.1,0,0,0
"10315","ENSG00000162461","SLC25A34",2,2,0.9,1,0.7,0.8,3
"10316","ENSG00000162482","AKR7A3",0.8,1,0,2,0.8,0.2,0.4
"10317","ENSG00000162490","DRAXIN",1,0.4,0.5,3,5,0.5,1
"10318","ENSG00000162493","PDPN",0.1,0.4,0.2,0.1,0.2,0,0.2
"10319","ENSG00000162494","LRRC38",0.3,0.1,0.1,0,0.2,0,0.1
"10320","ENSG00000162496","DHRS3",80,124,55,45,8,0,125
"10321","ENSG00000162510","MATN1",0.2,0.6,0.5,0.2,0.4,0.1,0.3
"10322","ENSG00000162511","LAPTM5",16,3,1,101,3,0.1,3
"10323","ENSG00000162512","SDC3",266,173,405,416,755,207,910
"10324","ENSG00000162517","PEF1",73,96,72,73,101,42,77
"10325","ENSG00000162520","SYNC",2,2,0.6,3,1,1,12
"10326","ENSG00000162521","RBBP4",88,75,85,41,106,39,83
"10327","ENSG00000162522","KIAA1522",33,8,5,20,24,20,29
"10328","ENSG00000162526","TSSK3",0.6,0.8,0.3,0.5,0.7,0.4,1
"10329","ENSG00000162542","TMCO4",16,15,8,14,11,12,25
"10330","ENSG00000162543","UBXN10",0,0,0,10,0,0.1,0.4
"10331","ENSG00000162545","CAMK2N1",5,78,38,32,26,19,24
"10332","ENSG00000162551","ALPL",0.1,0.2,0.1,0.1,0.1,0.4,0.1
"10333","ENSG00000162552","WNT4",0.1,0.1,0.5,1,0.3,0.1,0.7
"10334","ENSG00000162572","SCNN1D",3,1,0.6,3,0.7,2,4
"10335","ENSG00000162576","MXRA8",3,11,1,7,5,1,3
"10336","ENSG00000162585","FAAP20",10,9,7,9,14,9,5
"10337","ENSG00000162591","MEGF6",0,0,0,5,2,1,0
"10338","ENSG00000162592","CCDC27",0,0,0,0.3,0,0,0
"10339","ENSG00000162594","IL23R",0.1,0.3,0.8,0.4,0.4,2,0.4
"10340","ENSG00000162595","DIRAS3",2,0.3,0.5,45,0.1,0.7,0.7
"10341","ENSG00000162599","NFIA",12,7,6,2,2,10,13
"10342","ENSG00000162600","OMA1",20,31,11,25,31,25,36
"10343","ENSG00000162601","MYSM1",22,47,38,16,37,29,35
"10344","ENSG00000162604","TM2D1",16,22,17,14,33,21,22
"10345","ENSG00000162607","USP1",170,128,97,71,164,28,143
"10346","ENSG00000162613","FUBP1",129,99,64,44,85,59,54
"10347","ENSG00000162614","NEXN",6,1,5,0.7,2,2,5
"10348","ENSG00000162616","DNAJB4",42,12,30,21,27,16,7
"10349","ENSG00000162618","ADGRL4",0,13,0,0,0.1,0,9
"10350","ENSG00000162620","LRRIQ3",1,3,0.7,0.8,2,0.4,0.6
"10351","ENSG00000162621","LRRC53",0,0.8,0,0,0,0,0
"10352","ENSG00000162623","TYW3",46,75,62,19,56,29,50
"10353","ENSG00000162624","LHX8",0,14,0,0,31,0,0
"10354","ENSG00000162627","SNX7",80,84,106,31,65,25,55
"10355","ENSG00000162630","B3GALT2",4,0.6,7,0.3,0.1,0.7,2
"10356","ENSG00000162631","NTNG1",0,0.8,0,0,0.1,0,0
"10357","ENSG00000162636","FAM102B",19,13,21,26,102,37,11
"10358","ENSG00000162639","HENMT1",1,11,0.2,2,49,0.1,0.5
"10359","ENSG00000162641","AKNAD1",0.5,0.8,0.2,0.1,0.3,0.2,2
"10360","ENSG00000162642","C1orf52",30,29,20,17,29,18,22
"10361","ENSG00000162643","WDR63",0.4,0.7,31,4,8,2,8
"10362","ENSG00000162645","GBP2",21,62,26,19,9,5,6
"10363","ENSG00000162650","ATXN7L2",3,7,4,2,4,0.9,4
"10364","ENSG00000162654","GBP4",0.6,1,7,3,8,1,4
"10365","ENSG00000162664","ZNF326",24,24,30,13,26,19,17
"10366","ENSG00000162669","HFM1",0.8,0.6,3,0.3,1,2,0.5
"10367","ENSG00000162670","BRINP3",0.3,0.3,0,0,0,0.2,0
"10368","ENSG00000162676","GFI1",1,1,0.4,0.6,1,0.3,0.7
"10369","ENSG00000162687","KCNT2",0,1,0,0,0,0,0
"10370","ENSG00000162688","AGL",21,31,27,18,24,21,14
"10371","ENSG00000162692","VCAM1",0.1,0.1,0,0,0,0,0
"10372","ENSG00000162694","EXTL2",47,52,34,38,48,24,26
"10373","ENSG00000162695","SLC30A7",21,36,26,18,24,19,13
"10374","ENSG00000162699","DNAJA1P5",0.2,0,0,0,0,0,0
"10375","ENSG00000162702","ZNF281",59,51,90,43,54,45,43
"10376","ENSG00000162704","ARPC5",122,104,103,103,72,47,70
"10377","ENSG00000162706","CADM3",0.1,7,16,1,0.2,5,61
"10378","ENSG00000162711","NLRP3",1,0.6,0.4,0.8,0.9,0.3,0.3
"10379","ENSG00000162714","ZNF496",25,25,11,12,8,7,10
"10380","ENSG00000162722","TRIM58",0.2,34,0.3,7,22,1,0.3
"10381","ENSG00000162723","SLAMF9",5,9,7,3,6,5,0.2
"10382","ENSG00000162728","KCNJ9",0,0,0.1,0.1,0,0.1,0
"10383","ENSG00000162729","IGSF8",145,50,255,639,181,268,139
"10384","ENSG00000162733","DDR2",105,66,131,28,44,67,67
"10385","ENSG00000162734","PEA15",627,324,962,354,730,102,241
"10386","ENSG00000162735","PEX19",71,90,96,69,61,54,47
"10387","ENSG00000162736","NCSTN",258,189,297,186,148,158,167
"10388","ENSG00000162738","VANGL2",33,7,27,33,4,19,8
"10389","ENSG00000162739","SLAMF6",0.3,0.3,0.3,0.3,0.3,0.6,0.4
"10390","ENSG00000162745","OLFML2B",2,0.5,0.5,3,0.2,0.4,0.6
"10391","ENSG00000162746","FCRLB",2,10,4,7,3,3,4
"10392","ENSG00000162753","SLC9C2",0,0.1,0,0.1,0,0,0.1
"10393","ENSG00000162755","KLHDC9",0.5,0,0.1,14,0,0,0.4
"10394","ENSG00000162757","C1orf74",9,10,4,8,4,5,6
"10395","ENSG00000162763","LRRC52",0,0,0,1,0,0,0.1
"10396","ENSG00000162769","FLVCR1",23,33,12,18,9,14,8
"10397","ENSG00000162772","ATF3",0.9,3,6,4,2,10,3
"10398","ENSG00000162775","RBM15",18,17,17,14,45,10,17
"10399","ENSG00000162777","DENND2D",0,0,0,2,2,2,0.4
"10400","ENSG00000162779","AXDND1",0.2,0.8,0,0.2,0.1,0,0
"10401","ENSG00000162782","TDRD5",0.1,2,0,0,0,0.1,0
"10402","ENSG00000162783","IER5",64,28,52,55,38,62,27
"10403","ENSG00000162804","SNED1",0.6,14,6,27,0.6,0.4,34
"10404","ENSG00000162813","BPNT1",98,103,83,47,57,35,150
"10405","ENSG00000162814","SPATA17",0.7,2,0.5,0.6,0.3,0.7,0.4
"10406","ENSG00000162817","C1orf115",11,0.2,0,5,8,25,30
"10407","ENSG00000162819","BROX",79,100,58,56,57,53,65
"10408","ENSG00000162825","NBPF20",1,2,0.9,1,1,1,0.7
"10409","ENSG00000162836","ACP6",19,20,8,6,5,7,11
"10410","ENSG00000162840","MT2P1",0.8,4,2,0.8,2,0,5
"10411","ENSG00000162843","WDR64",0,0,0.1,0.1,0,0,0.2
"10412","ENSG00000162849","KIF26B",0.6,0.6,2,2,0,3,4
"10413","ENSG00000162851","TFB2M",142,246,74,76,70,76,52
"10414","ENSG00000162852","CNST",68,95,50,61,35,45,34
"10415","ENSG00000162869","PPP1R21",20,28,10,29,29,33,56
"10416","ENSG00000162873","KLHDC8A",0,0.5,0.1,33,0,0.6,0.2
"10417","ENSG00000162877","PM20D1",0,0,0.2,0,0.1,0,0
"10418","ENSG00000162878","PKDCC",24,5,0.3,0.9,2,6,0.2
"10419","ENSG00000162881","OXER1",0.3,0,0.1,0,0.1,0,0.1
"10420","ENSG00000162882","HAAO",0.3,0.3,0.1,0.3,0.1,0,0.1
"10421","ENSG00000162885","B3GALNT2",31,26,15,14,9,15,28
"10422","ENSG00000162888","C1orf147",0.4,0,0,0.3,0,0.1,0.6
"10423","ENSG00000162889","MAPKAPK2",126,111,90,166,80,54,51
"10424","ENSG00000162891","IL20",0,0,0.1,0,0.1,0.1,0.1
"10425","ENSG00000162892","IL24",5,194,8,2,11,1,4
"10426","ENSG00000162894","FCMR",28,6,16,24,39,4,26
"10427","ENSG00000162896","PIGR",0.3,0.2,0.3,0.5,0.3,0.2,0.2
"10428","ENSG00000162909","CAPN2",135,155,107,139,146,51,250
"10429","ENSG00000162910","MRPL55",48,34,18,54,33,25,44
"10430","ENSG00000162913","OBSCN-AS1",0.5,0.4,0.2,0.3,0.2,0.9,0.2
"10431","ENSG00000162923","WDR26",94,130,102,120,56,78,83
"10432","ENSG00000162924","REL",4,5,3,6,8,5,3
"10433","ENSG00000162927","PUS10",2,2,2,5,4,3,4
"10434","ENSG00000162928","PEX13",16,19,15,17,23,16,22
"10435","ENSG00000162929","KIAA1841",7,4,6,6,13,4,8
"10436","ENSG00000162931","TRIM17",0.4,0.2,0.2,1,0.2,0.3,0.6
"10437","ENSG00000162944","RFTN2",4,3,5,12,0.1,3,12
"10438","ENSG00000162946","DISC1",6,2,2,11,0.8,4,9
"10439","ENSG00000162947","LINC01931",0,0,0,0,0.1,0.2,0
"10440","ENSG00000162959","MEMO1",4,4,6,4,3,4,5
"10441","ENSG00000162961","DPY30",41,43,24,42,66,38,47
"10442","ENSG00000162971","TYW5",5,6,12,6,10,9,6
"10443","ENSG00000162972","MAIP1",40,33,49,32,52,37,50
"10444","ENSG00000162975","KCNF1",0,1,0,0,0,0,0.1
"10445","ENSG00000162976","PQLC3",10,9,2,49,35,51,34
"10446","ENSG00000162980","ARL5A",51,37,56,36,39,31,42
"10447","ENSG00000162981","FAM84A",0,0.1,0.4,0,0.8,0.3,0
"10448","ENSG00000162989","KCNJ3",0.1,0.1,0.1,0.1,0,0.1,0
"10449","ENSG00000162994","CLHC1",2,3,1,3,2,6,2
"10450","ENSG00000162997","PRORSD1P",2,0.2,2,1,3,3,2
"10451","ENSG00000162998","FRZB",1,0,0.3,26,0.7,0.2,15
"10452","ENSG00000162999","DUSP19",3,2,5,5,6,5,6
"10453","ENSG00000163001","CFAP36",25,74,31,23,58,27,33
"10454","ENSG00000163002","NUP35",26,18,27,16,47,11,30
"10455","ENSG00000163006","CCDC138",14,13,6,6,11,3,10
"10456","ENSG00000163009","C2orf48",3,2,0.5,0.6,0.3,0.3,2
"10457","ENSG00000163012","ZSWIM2",0,0.1,0,0,0,0,0
"10458","ENSG00000163013","FBXO41",13,14,6,9,6,16,13
"10459","ENSG00000163016","ALMS1P1",0.6,0.4,0.1,2,0.8,7,0.1
"10460","ENSG00000163017","ACTG2",34,0.1,1,12,2,0.4,3
"10461","ENSG00000163026","WDCP",26,33,16,23,33,31,24
"10462","ENSG00000163029","SMC6",31,45,27,35,36,28,32
"10463","ENSG00000163032","VSNL1",0.1,15,23,0.3,0,0,0.3
"10464","ENSG00000163040","CCDC74A",3,5,2,5,0,0.7,3
"10465","ENSG00000163041","H3F3A",472,524,338,227,275,181,520
"10466","ENSG00000163046","ANKRD30BL",0.3,0.3,5,0.2,0.2,1,0.8
"10467","ENSG00000163050","COQ8A",12,37,14,13,14,19,38
"10468","ENSG00000163053","SLC16A14",0,0,0,1,0,0,0
"10469","ENSG00000163060","TEKT4",0.6,0.7,0.3,1,0.2,0.1,0.2
"10470","ENSG00000163064","EN1",0,8,1,0,11,0.2,0.1
"10471","ENSG00000163069","SGCB",49,73,100,52,72,24,63
"10472","ENSG00000163071","SPATA18",0,0,0,8,0,0,0
"10473","ENSG00000163072","NOSTRIN",1,0.4,0.9,0.8,2,0.2,3
"10474","ENSG00000163075","CFAP221",0.1,0.1,0.1,0,0,0.1,0.1
"10475","ENSG00000163081","CCDC140",0.7,0.4,2,0.7,2,0.7,2
"10476","ENSG00000163082","SGPP2",1,1,2,0.3,1,0.7,0.5
"10477","ENSG00000163083","INHBB",0,0,0,3,0.1,0,0.3
"10478","ENSG00000163092","XIRP2",0.1,0.5,0.1,0.1,0,0,0
"10479","ENSG00000163093","BBS5",5,2,14,9,13,11,9
"10480","ENSG00000163104","SMARCAD1",66,67,53,47,43,45,44
"10481","ENSG00000163106","HPGDS",0,0.1,0,0,0,0.1,0
"10482","ENSG00000163110","PDLIM5",37,22,36,21,30,15,20
"10483","ENSG00000163114","PDHA2",0,0,0,0,0,0,0.1
"10484","ENSG00000163116","STPG2",0,0.1,0,0.1,0.1,0,0
"10485","ENSG00000163121","NEURL3",0.2,0.6,0.1,0.6,0.1,0.1,0.1
"10486","ENSG00000163125","RPRD2",37,49,29,32,28,26,23
"10487","ENSG00000163126","ANKRD23",0.3,0.4,0.3,1,0.4,0.5,0.5
"10488","ENSG00000163131","CTSS",13,6,3,4,7,4,17
"10489","ENSG00000163132","MSX1",4,17,7,11,8,9,16
"10490","ENSG00000163138","PACRGL",9,29,19,11,13,17,12
"10491","ENSG00000163141","BNIPL",2,0.8,1,0.8,0.4,1,0.7
"10492","ENSG00000163154","TNFAIP8L2",0.3,0,0.4,0.6,0,0.1,0.3
"10493","ENSG00000163155","LYSMD1",31,24,9,21,13,21,13
"10494","ENSG00000163156","SCNM1",45,57,14,20,26,30,18
"10495","ENSG00000163159","VPS72",45,48,19,27,27,49,24
"10496","ENSG00000163161","ERCC3",50,41,43,39,45,24,41
"10497","ENSG00000163162","RNF149",27,23,26,31,33,19,28
"10498","ENSG00000163166","IWS1",78,58,78,76,104,47,72
"10499","ENSG00000163170","BOLA3",28,30,18,23,43,26,29
"10500","ENSG00000163171","CDC42EP3",31,129,86,50,46,101,86
"10501","ENSG00000163191","S100A11",910,1326,1120,1247,1195,804,732
"10502","ENSG00000163202","LCE3D",0,0,0,0,0.2,0,0
"10503","ENSG00000163206","SMCP",0,0,0,0,0,1,0
"10504","ENSG00000163207","IVL",0,0,0,0,0.1,0,0
"10505","ENSG00000163209","SPRR3",0.2,0.1,0,0,0.4,0.1,0
"10506","ENSG00000163214","DHX57",20,33,18,21,21,12,20
"10507","ENSG00000163216","SPRR2D",80,80,25,0.1,39,65,0
"10508","ENSG00000163219","ARHGAP25",0.2,2,3,0.3,10,0.6,2
"10509","ENSG00000163220","S100A9",0,0.2,0,0,0.5,2,0
"10510","ENSG00000163235","TGFA",222,901,3,15,28,4,9
"10511","ENSG00000163239","TDRD10",0,0.3,0,0.1,0,0.2,0
"10512","ENSG00000163249","CCNYL1",23,24,34,19,36,19,33
"10513","ENSG00000163251","FZD5",4,3,6,8,9,6,4
"10514","ENSG00000163257","DCAF16",50,95,57,32,38,46,25
"10515","ENSG00000163263","C1orf189",0,0,0,0,0,0.4,0
"10516","ENSG00000163273","NPPC",1,14,0,6,55,4,0.8
"10517","ENSG00000163281","GNPDA2",13,25,17,15,10,13,16
"10518","ENSG00000163283","ALPP",0.1,0,0.1,0.1,0.1,0,0
"10519","ENSG00000163285","GABRG1",0,0.1,0,0,0,0,0.1
"10520","ENSG00000163288","GABRB1",0.2,0,0,0,0,0,0
"10521","ENSG00000163291","PAQR3",7,12,13,12,16,6,10
"10522","ENSG00000163293","NIPAL1",14,20,8,2,4,0.6,6
"10523","ENSG00000163297","ANTXR2",6,18,25,0,9,6,13
"10524","ENSG00000163312","HELQ",14,15,8,16,14,11,15
"10525","ENSG00000163319","MRPS18C",11,9,10,7,8,6,7
"10526","ENSG00000163320","CGGBP1",109,117,75,158,112,121,181
"10527","ENSG00000163322","ABRAXAS1",5,6,3,6,4,6,4
"10528","ENSG00000163328","GPR155",12,5,14,34,11,6,32
"10529","ENSG00000163331","DAPL1",0.4,0,0.3,2,0.2,0.5,0.4
"10530","ENSG00000163344","PMVK",99,78,40,87,55,93,85
"10531","ENSG00000163346","PBXIP1",48,75,26,105,64,161,66
"10532","ENSG00000163347","CLDN1",46,0.5,1,4,19,137,64
"10533","ENSG00000163348","PYGO2",86,81,57,58,39,51,44
"10534","ENSG00000163349","HIPK1",41,44,43,34,63,23,60
"10535","ENSG00000163352","LENEP",0.2,0,1,0,0.2,0.2,0
"10536","ENSG00000163354","DCST2",0.3,0.4,0.2,1,0.1,1,0.1
"10537","ENSG00000163357","DCST1",1,0.3,0.1,0.8,0.2,0.5,0.3
"10538","ENSG00000163359","COL6A3",1,3,0.8,13,1,0.7,0.7
"10539","ENSG00000163362","INAVA",17,13,4,0.3,0.1,0.2,4
"10540","ENSG00000163364","LINC01116",25,13,6,3,38,21,38
"10541","ENSG00000163374","YY1AP1",48,40,30,29,28,19,23
"10542","ENSG00000163376","KBTBD8",1,9,2,1,16,3,5
"10543","ENSG00000163377","FAM19A4",0,0,0,0,0.7,0,0
"10544","ENSG00000163378","EOGT",25,28,16,37,63,29,31
"10545","ENSG00000163380","LMOD3",0.4,0.2,0.2,0.9,0.2,0.4,0.4
"10546","ENSG00000163382","NAXE",243,202,51,209,141,137,101
"10547","ENSG00000163389","POGLUT1",27,18,13,12,18,22,27
"10548","ENSG00000163393","SLC22A15",2,3,6,6,13,2,4
"10549","ENSG00000163395","IGFN1",0.1,0.1,0,0.1,0,0,0.1
"10550","ENSG00000163399","ATP1A1",1188,944,737,1046,2161,1038,1379
"10551","ENSG00000163406","SLC15A2",0.3,0.4,0.1,0.4,0.3,0.3,0.8
"10552","ENSG00000163412","EIF4E3",0.1,0.2,1,9,5,7,0.7
"10553","ENSG00000163421","PROK2",0,0.1,0,0,0,0.1,0
"10554","ENSG00000163424","C3orf30",0,0,0,0,0,0,0.2
"10555","ENSG00000163428","LRRC58",120,121,96,80,136,72,112
"10556","ENSG00000163430","FSTL1",30,7,6,55,121,80,180
"10557","ENSG00000163431","LMOD1",0.3,1,0.7,0.5,0.2,0.1,0.3
"10558","ENSG00000163435","ELF3",0.1,0.1,0.2,0.1,0.1,0.2,0.2
"10559","ENSG00000163440","PDCL2",0,6,0,0,0,0,0
"10560","ENSG00000163444","TMEM183A",76,81,143,51,45,32,47
"10561","ENSG00000163449","TMEM169",16,4,1,23,5,0.7,1
"10562","ENSG00000163453","IGFBP7",640,88,577,341,296,194,97
"10563","ENSG00000163462","TRIM46",5,4,5,1,2,2,2
"10564","ENSG00000163463","KRTCAP2",12,8,10,8,7,15,7
"10565","ENSG00000163466","ARPC2",188,124,298,129,284,84,178
"10566","ENSG00000163467","TSACC",4,3,1,2,1,2,0.8
"10567","ENSG00000163468","CCT3",796,666,571,325,434,322,273
"10568","ENSG00000163472","TMEM79",13,8,7,8,3,8,7
"10569","ENSG00000163479","SSR2",266,261,131,96,100,80,161
"10570","ENSG00000163481","RNF25",41,39,40,27,61,27,34
"10571","ENSG00000163482","STK36",15,18,26,19,17,10,17
"10572","ENSG00000163485","ADORA1",4,6,8,0.1,0.3,0.3,3
"10573","ENSG00000163491","NEK10",0.6,2,0.5,0.5,0.7,0.2,0.6
"10574","ENSG00000163492","CCDC141",0.1,0.1,0,0.1,7,0.1,0.9
"10575","ENSG00000163497","FEV",0.2,0,0,0,0,0,0.8
"10576","ENSG00000163499","CRYBA2",0.1,0.1,0,0,0,0,2
"10577","ENSG00000163501","IHH",0.2,0,0,0,0.3,0,0
"10578","ENSG00000163507","CIP2A",66,70,44,27,84,12,66
"10579","ENSG00000163508","EOMES",0.2,1,0.1,1,2,2,2
"10580","ENSG00000163510","CWC22",59,63,43,33,66,28,58
"10581","ENSG00000163512","AZI2",20,28,19,18,24,19,24
"10582","ENSG00000163513","TGFBR2",73,107,59,194,84,53,256
"10583","ENSG00000163515","RETNLB",0,0.4,0,0,0,0,0
"10584","ENSG00000163516","ANKZF1",16,18,31,15,22,24,14
"10585","ENSG00000163517","HDAC11",2,3,5,11,3,13,6
"10586","ENSG00000163519","TRAT1",0.1,0,0,0,0,0,0
"10587","ENSG00000163520","FBLN2",0.4,0,0,2,0,2,35
"10588","ENSG00000163521","GLB1L",6,9,3,54,12,6,85
"10589","ENSG00000163527","STT3B",294,251,236,309,246,192,293
"10590","ENSG00000163528","CHCHD4",59,57,22,32,39,37,36
"10591","ENSG00000163530","DPPA2",0,2,0,0,0.6,0.1,0
"10592","ENSG00000163531","NFASC",0,5,0.2,0.1,0.4,0.6,0.1
"10593","ENSG00000163534","FCRL1",0.1,0.1,0.1,0.1,0,0.2,0.3
"10594","ENSG00000163535","SGO2",50,37,39,20,68,12,47
"10595","ENSG00000163536","SERPINI1",4,3,5,6,4,31,0.3
"10596","ENSG00000163539","CLASP2",22,29,25,30,24,33,30
"10597","ENSG00000163541","SUCLG1",53,71,57,65,83,122,90
"10598","ENSG00000163545","NUAK2",3,3,5,0.5,0.8,0.8,1
"10599","ENSG00000163554","SPTA1",0.1,0,0,0,0.1,0.1,0
"10600","ENSG00000163558","PRKCI",36,49,31,29,46,24,27
"10601","ENSG00000163563","MNDA",0.1,0,0,0,0,0,0.1
"10602","ENSG00000163564","PYHIN1",0.4,0.2,4,0.2,3,0.5,0.7
"10603","ENSG00000163565","IFI16",368,183,848,198,240,237,231
"10604","ENSG00000163568","AIM2",0.1,131,56,1,10,9,9
"10605","ENSG00000163576","EFHB",0.3,2,0.1,0.3,0.3,0.4,0.2
"10606","ENSG00000163577","EIF5A2",16,8,22,15,116,15,21
"10607","ENSG00000163581","SLC2A2",0,0,0.1,0,0.1,0,0
"10608","ENSG00000163584","RPL22L1",131,204,38,64,42,118,325
"10609","ENSG00000163586","FABP1",0,0.1,0,0,0,0,0
"10610","ENSG00000163590","PPM1L",3,4,2,0.6,4,1,2
"10611","ENSG00000163596","ICA1L",2,2,2,2,2,1,2
"10612","ENSG00000163597","SNHG16",74,60,70,65,77,120,57
"10613","ENSG00000163599","CTLA4",46,9,0.5,4,8,10,0
"10614","ENSG00000163600","ICOS",0.2,0,0,0,2,8,0
"10615","ENSG00000163602","RYBP",30,35,37,45,105,21,47
"10616","ENSG00000163605","PPP4R2",62,104,92,83,222,63,64
"10617","ENSG00000163606","CD200R1",0,0.2,0,0,0.1,0,0.1
"10618","ENSG00000163607","GTPBP8",14,21,13,9,20,7,18
"10619","ENSG00000163608","NEPRO",37,53,41,37,40,39,52
"10620","ENSG00000163611","SPICE1",9,21,6,7,11,8,9
"10621","ENSG00000163612","FAM86KP",0.3,0,0.2,0.3,0.1,0,0
"10622","ENSG00000163617","CCDC191",1,2,0.8,4,1,2,0.6
"10623","ENSG00000163618","CADPS",0.5,0.1,3,8,16,0,20
"10624","ENSG00000163623","NKX6-1",0,8,1,0.1,1,1,0.2
"10625","ENSG00000163624","CDS1",0.6,2,2,0.1,0.2,1,0.2
"10626","ENSG00000163625","WDFY3",9,11,12,15,9,10,15
