Name,Born,Died,Nationality,Age_death
Ferdinand David,1810,1873,German,63
Vinzenz Lachner,1811,1893,German,82
Franz Liszt,1811,1886,Hungarian,75
Ferdinand Hiller,1811,1885,German,74
Wilhelm Taubert,1811,1891,German,80
Ambroise Thomas,1811,1896,French,85
Spyridon Xyndas,1812,1896,Greek,84
Sigismond Thalberg,1812,1871,Austrian,59
Louis-Antoine Jullien,1812,1860,French,48
Emilie Mayer,1812,1883,German,71
Friedrich von Flotow,1812,1883,German,71
Alexandre Dubuque,1812,1898,Russian-French,86
Johann Rufinatscha,1812,1893,Austrian,81
Alexander Dargomyzhsky,1813,1869,Russian,56
Semen Hulak-Artemovsky,1813,1873,Ukrainian,60
George Alexander Macfarren,1813,1887,English,74
Stephen Heller,1813,1888,Hungarian,75
Richard Wagner,1813,1883,German,70
Ernst Haberbier,1813,1869,German,56
Giuseppe Verdi,1813,1901,Italian,88
Charles-Valentin Alkan,1813,1888,French,75
Andonios Liveralis,1814,1842,Greek,28
Giuseppe Lillo,1814,1863,Italian,49
Adolf von Henselt,1814,1889,German,75
Josephine Lang,1815,1880,German,65
Ferdinand Praeger,1815,1891,German,76
Robert Volkmann,1815,1883,German,68
Józef Władysław Krogulski,1815,1842,Polish,27
William Sterndale Bennett,1816,1875,English,59
Charles Dancla,1817,1907,French,90
Émile Prudent,1817,1863,French,46
Károly Thern,1817,1886,Hungarian,69
Niels Gade,1817,1890,Danish,73
Henry Litolff,1818,1891,British,73
Charles Gounod,1818,1893,French,75
Antonio Bazzini,1818,1897,Italian,79
Alexander Dreyschock,1818,1869,Czech,51
Jacques Offenbach,1819,1880,French,61
Franz von Suppé,1819,1895,Austrian,76
Stanisław Moniuszko,1819,1872,Polish,53
Clara Schumann,1819,1896,German,77
Vatroslav Lisinski,1819,1854,Croatian,35
Henri Vieuxtemps,1820,1881,Belgian,61
Giovanni Bottesini,1821,1889,Italian,68
Josip Runjanin,1821,1878,Croatian,57
Emilie Hammarskjöld,1821,1854,Swedish,33
Joachim Raff,1822,1882,Swiss-born German,60
César Franck,1822,1890,Belgian-born French,68
Luigi Arditi,1822,1903,Italian,81
Édouard Lalo,1823,1892,French,69
Theodor Kirchner,1823,1903,German,80
Kurmangazy Sagyrbayuly,1823,1896,Kazakhstani,73
Anton Bruckner,1824,1896,Austrian,72
Bedřich Smetana,1824,1884,Czech,60
Carl Reinecke,1824,1910,German,86
Jean-Baptiste Arban,1825,1889,French,64
Johann Strauss II,1825,1899,Austrian,74
Richard Hol,1825,1904,Dutch,79
Stephen Foster,1826,1864,American,38
Ivar Hallström,1826,1901,Swedish,75
Ludwig Minkus,1826,1917,Austrian,91
"Prince Gustav, Duke of Uppland",1827,1852,Swedish,25
Josef Strauss,1827,1870,Austrian,43
Adolphe Blanc,1828,1885,French,57
Adrien Barthe,1828,1898,French,70
Eduard Rohde,1828,1883,German,55
Johann Dubez,1828,1891,Austrian,63
Jacques Blumenthal,1829,1908,German,79
Patrick Gilmore,1829,1892,Irish-born American,63
Louis Moreau Gottschalk,1829,1869,American,40
Anton Rubinstein,1829,1894,Russian,65
Karl Goldmark,1830,1915,Hungarian,85
Hans von Bülow,1830,1894,German,64
Theodor Leschetizky,1830,1915,Polish,85
Ivan Larionov,1830,1889,Russian,59
Kornelije Stanković,1831,1865,Serbian,34
Jan Gerard Palm,1831,1906,Curaçaoan,75
Hiromori Hayashi,1831,1896,Japanese,65
Joseph Joachim,1831,1907,Hungarian,76
Eduardo Mezzacapo,1832,1898,Italian,66
August Söderman,1832,1876,Swedish,44
Ivan Zajc,1832,1914,Croatian,82
Francis Edward Bache,1833,1858,English,25
Alexander Borodin,1833,1887,Russian,54
Johannes Brahms,1833,1897,German,64
Amilcare Ponchielli,1834,1886,Italian,52
Tekla Bądarzewska-Baranowska,1834,1861,Polish,27
Julius Reubke,1834,1858,German,24
Peter Benoit,1834,1901,Flemish,67
Giuseppe Branzoli,1835,1909,Italian,74
Felix Draeseke,1835,1913,German,78
Camille Saint-Saëns,1835,1921,French,86
Henryk Wieniawski,1835,1880,Polish,45
Eduard Strauss,1835,1916,Austrian,81
César Cui,1835,1918,Russian,83
Davorin Jenko,1835,1914,Slovenian-born Serbian,79
Friedrich Baumfelder,1836,1916,German,80
Léo Delibes,1836,1891,French,55
Antônio Carlos Gomes,1836,1896,Brazilian,60
Bertha Tammelin,1836,1915,Swedish,79
Julius Weissenborn,1837,1888,German,51
Émile Waldteufel,1837,1915,French,78
Mily Balakirev,1837,1910,Russian,73
Georges Bizet,1838,1875,French,37
Max Bruch,1838,1920,German,82
Modest Mussorgsky,1839,1881,Russian,42
John Knowles Paine,1839,1906,American,67
Josef Rheinberger,1839,1901,German,62
Pyotr Ilyich Tchaikovsky,1840,1893,Russian,53
John Stainer,1840,1901,English,61
Louis-Albert Bourgault-Ducoudray,1840,1910,French,70
Johan Svendsen,1840,1911,Norwegian,71
Louis Brassin,1840,1884,Belgian,44
Emmanuel Chabrier,1841,1894,French,53
Felip Pedrell,1841,1922,Spanish,81
Giovanni Sgambati,1841,1914,Italian,73
Antonín Dvořák,1841,1904,Czech,63
Giuseppe Silvestri,1841,1921,Italian,80
Arrigo Boito,1842,1918,Italian,76
Mykola Lysenko,1842,1912,Ukrainian,70
Johann Nepomuk Fuchs,1842,1899,Austrian,57
Jules Massenet,1842,1912,French,70
Arthur Sullivan,1842,1900,English,58
Calixa Lavallée,1842,1891,Canadian,49
Émile Bernard,1843,1902,French,59
Edvard Grieg,1843,1907,Norwegian,64
David Popper,1843,1913,Czech,70
Paul Taffanel,1844,1908,French,64
Nikolai Rimsky-Korsakov,1844,1908,Russian,64
Pietro Armanini,1844,1895,Italian,51
Pablo de Sarasate,1844,1908,Spanish,64
Charles-Marie Widor,1844,1937,French,93
Friedrich Nietzsche,1844,1900,German,56
Ion Ivanovici,1845,1902,Romanian,57
Gabriel Fauré,1845,1924,French,79
Ignaz Brüll,1846,1907,Austrian,61
Luigi Denza,1846,1922,Italian,76
Ferdinando de Cristofaro,1846,1890,Italian,44
Zygmunt Noskowski,1846,1909,Polish,63
Robert Fuchs,1847,1927,Austrian,80
Chiquinha Gonzaga,1847,1935,Brazilian,88
Augusta Holmès,1847,1903,French,56
Philipp Scharwenka,1847,1917,German-Polish,70
Henri Duparc,1848,1933,French,85
Hubert Parry,1848,1918,English,70
Benjamin Godard,1849,1895,French,46
Ernesto Köhler,1849,1907,Italian,58
C. A. Bracco,1850,1903,Italian,53
Zdeněk Fibich,1850,1900,Czech,50
Xaver Scharwenka,1850,1924,German-Polish,74
Alexandre Luigini,1850,1906,French,56
Max Josef Beer,1851,1908,Austrian,57
Josif Marinković,1851,1931,Serbian,80
Vincent d'Indy,1851,1931,French,80
Francisco Tárrega,1852,1909,Spanish,57
Hans Huber,1852,1921,Swiss,69
Charles Villiers Stanford,1852,1924,Irish,72
Ciprian Porumbescu,1853,1883,Romanian,30
Teresa Carreño,1853,1917,Venezuelan,64
Engelbert Humperdinck,1854,1921,German,67
Leoš Janáček,1854,1928,Czech,74
Alfredo Catalani,1854,1893,Italian,39
Moritz Moszkowski,1854,1925,German,71
John Philip Sousa,1854,1932,American,78
